author_id,lexical_diversity,repeated_ratio,link_ratio,sentiment_polarity,comments_per_day,burstiness_hours,hour_entropy,segment,anomaly_score,anomaly_score_val
360103,0.55,0.0,0.0,0.013,0.482,183.642,2.285,0,1,0.104
365191,1.0,0.0,0.0,0.15,0.021,629.992,1.5,3,1,0.1
379422,0.88,0.0,0.0,0.015,0.043,501.734,2.47,3,1,0.158
384283,0.577,0.0,0.0,0.004,0.05,710.056,2.807,0,1,0.118
390576,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0.18
396228,0.795,0.0,0.0,0.047,1.417,32.917,3.212,0,1,0.097
397285,0.607,0.035,0.0,0.013,0.318,93.529,3.673,0,1,0.1
422923,0.767,0.0,0.0,0.105,0.18,202.967,2.118,0,1,0.12
424055,0.658,0.0,0.0,0.005,0.436,83.355,3.464,0,1,0.133
454893,0.47,0.0,0.0,0.015,1.837,53.613,4.179,0,1,0.053
456487,1.0,0.0,0.0,0.0,0.143,,1.0,1,1,0.156
458006,0.783,0.0,0.0,0.009,0.314,114.195,3.243,0,1,0.142
459377,0.679,0.0,0.0,-0.015,0.55,75.29,3.328,0,1,0.124
5574,0.667,0.0,0.009,0.007,0.304,123.11,3.844,0,1,0.116
6124,0.821,0.0,0.0,0.028,0.045,835.54,2.807,3,1,0.142
9913,0.527,0.013,0.058,0.006,0.426,93.182,3.889,0,1,0.07
11482,0.576,0.01,0.0,0.029,0.27,123.014,2.44,0,1,0.105
16985,0.414,0.0,0.0,0.017,0.483,87.789,4.273,0,1,0.069
19316,0.587,0.029,0.029,0.065,0.358,103.781,3.322,0,1,0.066
24815,0.545,0.065,0.01,0.017,1.252,85.445,3.942,0,1,0.034
25205,0.442,0.0,0.026,-0.006,0.226,151.468,3.825,0,1,0.074
25325,0.745,0.0,0.125,-0.016,0.071,478.945,3.068,0,1,0.103
29187,1.0,0.0,0.0,0.0,0.051,987.695,2.322,3,1,0.119
29474,0.726,0.059,0.015,0.021,0.207,259.083,3.423,0,1,0.068
34117,0.54,0.0,0.015,-0.007,0.198,332.126,3.856,0,1,0.096
34514,0.527,0.027,0.164,0.038,0.234,159.517,3.562,0,1,0.024
34748,0.834,0.036,0.107,-0.009,0.08,273.901,3.539,0,1,0.065
35510,0.97,0.0,0.0,0.0,0.02,2384.464,2.585,3,1,0.056
35606,0.422,0.0,0.01,0.002,0.279,195.416,3.517,0,1,0.089
37902,0.539,0.015,0.092,0.008,0.365,134.253,3.22,0,1,0.062
48793,0.862,0.0,0.0,0.0,0.071,910.953,2.388,3,1,0.149
49767,0.619,0.0,0.0,0.0,0.097,450.92,3.176,0,1,0.14
53032,0.727,0.031,0.0,0.002,0.178,149.552,3.698,0,1,0.101
57026,0.939,0.0,0.75,0.0,0.082,379.334,2.0,6,-1,-0.023
58375,0.455,0.004,0.0,0.018,0.752,60.023,3.991,0,1,0.086
64409,0.867,0.0,0.0,0.0,0.135,317.161,3.156,0,1,0.154
68887,0.525,0.024,0.0,0.013,0.585,57.946,4.096,0,1,0.084
69134,0.815,0.0,0.0,0.073,0.043,877.981,2.74,3,1,0.122
73491,0.634,0.015,0.0,0.0,0.198,191.064,3.824,0,1,0.103
73628,0.763,0.0,0.2,0.0,0.034,963.264,2.322,3,1,0.069
75885,0.655,0.0,0.0,0.017,0.123,265.793,3.606,0,1,0.138
82296,0.617,0.018,0.018,0.013,0.157,254.264,3.68,0,1,0.098
96432,0.559,0.018,0.0,0.046,0.304,142.58,3.923,0,1,0.079
101259,0.685,0.0,0.0,0.013,0.067,377.108,2.81,0,1,0.14
106968,0.698,0.0,0.0,0.075,0.092,313.64,3.377,0,1,0.125
111313,0.834,0.0,0.042,-0.008,0.069,323.168,3.57,0,1,0.114
111890,0.786,0.0,0.0,0.003,0.134,323.709,3.619,0,1,0.137
115728,0.794,0.0,0.0,0.0,0.032,999.009,1.658,3,1,0.139
119904,0.677,0.0,0.022,0.002,0.159,118.466,3.483,0,1,0.125
122667,0.775,0.0,0.0,0.021,0.072,284.294,3.167,0,1,0.152
130870,0.856,0.0,0.143,0.0,0.042,536.901,2.522,3,1,0.1
132037,0.5,0.005,0.0,0.017,0.559,166.095,3.864,0,1,0.097
141680,0.594,0.0,0.02,-0.006,0.161,227.106,3.101,0,1,0.12
141729,0.513,0.0,0.0,-0.008,0.3,133.085,3.029,0,1,0.12
142403,0.683,0.017,0.0,-0.003,0.169,170.3,3.952,0,1,0.093
145017,0.416,0.006,0.006,0.019,0.443,79.457,3.988,0,1,0.073
146826,0.46,0.028,0.008,0.007,0.772,68.439,3.151,0,1,0.081
149773,0.523,0.013,0.003,-0.002,2.411,27.549,3.992,0,1,0.043
154920,0.671,0.0,0.0,0.015,0.119,288.714,3.603,0,1,0.138
161918,0.545,0.0,0.0,-0.013,0.296,180.494,3.749,0,1,0.108
163483,0.909,0.0,0.0,0.0,0.02,595.588,2.0,3,1,0.155
165282,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0.18
166754,0.582,0.0,0.0,0.0,0.109,248.644,3.652,0,1,0.124
170413,0.773,0.0,0.0,0.0,0.049,502.362,3.418,0,1,0.145
181118,0.563,0.071,0.0,0.005,0.272,117.013,3.643,0,1,0.068
185005,0.609,0.049,0.0,0.024,0.225,247.018,4.151,0,1,0.06
189662,0.522,0.006,0.0,0.029,0.553,125.419,3.968,0,1,0.1
196120,0.863,0.0,0.0,0.057,0.046,612.337,3.182,0,1,0.135
205373,0.444,0.0,0.0,0.003,0.255,256.723,3.95,0,1,0.082
205918,0.338,0.01,0.047,0.01,2.455,20.046,3.993,0,-1,-0.008
214687,0.494,0.0,0.01,0.004,0.284,89.61,3.82,0,1,0.102
214885,0.668,0.0,0.0,0.0,0.15,202.359,3.514,0,1,0.14
215046,0.747,0.023,0.0,0.03,0.151,150.82,3.749,0,1,0.101
221501,0.586,0.026,0.0,-0.013,0.108,387.651,3.477,0,1,0.101
222198,0.826,0.0,0.0,0.0,0.129,260.576,3.747,0,1,0.132
224706,0.433,0.0,0.0,0.005,0.515,76.745,3.897,0,1,0.085
229969,0.427,0.025,0.012,0.067,0.472,81.981,3.732,0,1,0.042
235004,0.496,0.0,0.0,0.078,0.164,250.338,3.809,0,1,0.074
236817,0.744,0.019,0.0,0.018,0.146,164.195,3.282,0,1,0.124
243222,0.643,0.0,0.0,0.003,0.097,299.739,3.732,0,1,0.129
246459,0.643,0.0,0.021,0.007,0.192,165.022,3.727,0,1,0.117
246855,0.639,0.0,0.0,0.028,0.109,347.634,3.711,0,1,0.127
251852,0.738,0.0,0.0,0.007,0.214,192.88,3.736,0,1,0.129
259385,0.923,0.0,0.0,0.0,0.079,661.513,0.918,1,1,0.139
259502,0.441,0.007,0.0,0.007,0.873,56.856,4.091,0,1,0.073
259968,0.801,0.0,0.0,0.077,0.049,546.222,3.239,0,1,0.126
264498,0.501,0.0,0.015,0.041,0.206,253.88,3.802,0,1,0.091
266825,0.746,0.0,0.0,0.0,0.079,370.451,2.998,0,1,0.157
268183,0.558,0.0,0.0,-0.013,0.145,221.224,3.54,0,1,0.122
272412,0.47,0.015,0.015,0.009,0.373,66.65,3.85,0,1,0.084
279663,0.658,0.0,0.0,0.015,0.247,142.322,3.866,0,1,0.128
